"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"106","V2LNSSA-12B-2019-05-09","Sheet Harbour",5474,2019-05-14 00:10:39,2019-06-12 17:28:16,44.9202516530958,-62.5386218284875
"107","V2LNSSA-12B-2019-05-09","Sheet Harbour estuary",3832,2019-05-20 07:50:01,2019-06-13 11:13:53,44.8958021924533,-62.4850195539726
"108","V2LNSSA-12B-2019-05-09","Sheet Harbour passage",68,2019-05-13 16:31:45,2019-06-07 09:01:43,44.8665695404,-62.4962837203505
"109","V2LNSSA-12B-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"110","V2LNSSA-12C-2019-05-09","Sheet Harbour",286,2019-05-11 07:14:22,2019-05-11 11:52:04,44.9202516530958,-62.5386218284875
"111","V2LNSSA-12C-2019-05-09","Sheet Harbour passage",75,2019-05-11 04:35:46,2019-05-11 06:42:08,44.8665695404,-62.4962837203505
"112","V2LNSSA-12C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"113","V2LNSSA-12D-2019-05-09","Sheet Harbour",733,2019-05-11 00:25:31,2019-05-12 09:01:30,44.9202516530958,-62.5386218284875
"114","V2LNSSA-12D-2019-05-09","Sheet Harbour passage",18,2019-05-10 18:26:04,2019-05-10 22:59:49,44.8665695404,-62.4962837203505
"115","V2LNSSA-12D-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"116","V2LNSSA-15A-2019-05-09","Sheet Harbour",5802,2019-05-12 00:48:44,2019-06-11 14:37:59,44.9202516530958,-62.5386218284875
"117","V2LNSSA-15A-2019-05-09","Sheet Harbour estuary",5238,2019-05-23 00:27:53,2019-06-12 22:28:25,44.8958021924533,-62.4850195539726
"118","V2LNSSA-15A-2019-05-09","Sheet Harbour passage",63,2019-05-10 01:02:33,2019-06-13 02:29:54,44.8665695404,-62.4962837203505
"119","V2LNSSA-15A-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"120","V2LNSSA-15B-2019-05-09","Sheet Harbour",1649,2019-05-13 00:30:35,2019-06-03 17:26:35,44.9202516530958,-62.5386218284875
"121","V2LNSSA-15B-2019-05-09","Sheet Harbour estuary",1603,2019-05-17 14:36:46,2019-06-06 16:32:03,44.8958021924533,-62.4850195539726
"122","V2LNSSA-15B-2019-05-09","Sheet Harbour passage",27,2019-05-12 12:17:04,2019-06-07 03:18:22,44.8665695404,-62.4962837203505
"123","V2LNSSA-15B-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"124","V2LNSSA-15C-2019-05-09","Sheet Harbour",1157,2019-05-11 01:14:27,2019-06-01 22:04:42,44.9202516530958,-62.5386218284875
